Product ID,Name,Category,Product,Brand,Price Each,Quantity Ordered
176558,USB-C Charging Cable,electronics,charger,Bose,11.95,2
176559,Bose SoundSport Headphones,electronics,charger,Bose,99.99,1
176560,Google Phone,electronics,phone,Google,600,1
176560,Wired Headphones,electronics,headphone,Google,11.99,1
176561,Wired Headphones,electronics,headphone,Google,11.99,1
176562,USB-C Charging Cable,electronics,headphone,Google,11.95,1
176563,Bose SoundSport Headphones,electronics,headphone,Google,99.99,1
176564,USB-C Charging Cable,electronics,headphone,Google,11.95,1
176565,Macbook Pro Laptop,electronics,headphone,Google,1700,1
176566,Wired Headphones,electronics,headphone,Google,11.99,1
176567,Google Phone,electronics,headphone,Google,600,1
176568,Lightning Charging Cable,electronics,headphone,Google,14.95,1
176569,27in 4K Gaming Monitor,electronics,headphone,Google,389.99,1
176570,AA Batteries (4-pack),electronics,headphone,Google,3.84,1
176571,Lightning Charging Cable,electronics,headphone,Google,14.95,1
176572,Apple Airpods Headphones,electronics,headphone,Google,150,1
176573,USB-C Charging Cable,electronics,headphone,Google,11.95,1
176574,Google Phone,electronics,headphone,Google,600,1
176574,USB-C Charging Cable,electronics,headphone,Google,11.95,1
176575,AAA Batteries (4-pack),electronics,headphone,Google,2.99,1
176576,Apple Airpods Headphones,electronics,headphone,Apple,150,1
176577,Apple Airpods Headphones,apple,airpods,Apple,150,1